エリア	施設	タイムスタンプ	個人情報保護の方針について	全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）	石川県内での宿泊数をお答えください	石川県内での宿泊エリアをお答えください	石川県外での宿泊エリアをお答えください	今回はどなたと石川県を訪れていますか？	今回の石川県の訪問目的は何ですか？（複数選択可）	石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください	次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください	前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。	上記満足度の理由について、具体的に教えてください	今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）	今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり） ※石川県外からの交通費、石川県内での交通費を含む。	今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり） ※飲食、買い物、体験・観光などの消費額合計 ※宿泊費、交通費を除く	これまでに   当施設   には何度訪れたことがありますか。	今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）	当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(前)	当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(後)	当施設    における、消費総額をお答えください。（予定でも可/１人あたり）	当施設 における、商品・サービスの満足度をお答えください	上記満足度の理由につい具体的に教えてください。(サービス)	当施設   における、施設全体の満足度をお答えください。	上記満足度の理由につい具体的に教えてください。(施設全体)	当施設   において、不便を感じたり困ったことはありましたか。	上記不便を感じたり、困ったことについて具体的に教えてください	あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。	あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください	今後、再び石川県を訪れたいと思いますか	あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。  (※必須項目です。無ければ「特になし」とご記入ください)	性別をお答えください	生まれた年をお答えください	お住いの都道府県をお答えください	お住いの市区町村をお答えください 例：新宿区	世帯年収をお答えください	アンケートに回答しようと思った動機をお答えください	旅全体の総合満足度を教えてください。	石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。 ０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。	今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
加賀エリア	トレインパーク白山	2026/01/08	同意する	4泊以上	4泊以上	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光, スキー・スノボ・マリンスポーツ	自家用車	自家用車			20,000円以上 30,000円未満	30,000円以上 40,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	恐竜博物館	選択なし／該当施設なし		1,000円以上 3,000円未満	満足		どちらでもない	少し高い	感じなかった		5		また行きたい（1年以内）	飲食	男	1980	和歌山県	橋本市	700万円以上 800万円未満	景品が当たる	満足	8	食事
加賀エリア	大江戸温泉物語Premium 山下家	2026/01/08	同意する	1泊	4泊以上	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	宿でのんびり過ごす, 温泉や露天風呂	自家用車	自家用車	とても満足	色々観光できる	10,000円以上 20,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	2～5回目	何度も訪石川リピーター	選択なし/該当施設なし	以前すべて訪問済	石川県立航空プラザ		20,000円以上 30,000円未満	満足	設備広さとおもてなし	満足	広くて設備も良い	感じなかった		9	ラウンジかありがたい。	また行きたい（1年以内）	特に無し	男	1955	大阪府	枚方市	600万円以上 700万円未満	景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい, なんとなく	とても満足	10	大阪からいきやすい
加賀エリア	かがにこにこパーク	2026/01/08	同意する	4泊以上	4泊以上	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	小学生以下連れの家族	温泉や露天風呂, 地元の美味しいものを食べる, スキー・スノボ・マリンスポーツ	自家用車	自家用車			使わない	50,000円以上 100,000円未満	使わない	初めて	インターネット・アプリ, Instagram	石川県立航空プラザ		木場潟公園		1,000円以上 3,000円未満	とても満足	広い施設で人も少なく、子ども達がのびのびと遊べて良かった。	とても満足	綺麗で子ども用トイレや授乳室なども有り良かった。	感じなかった		10		また行きたい（1年以内）	特に無し	女	1988	愛知県	海部郡	400万円以上 500万円未満	景品が当たる	とても満足	10	
加賀エリア	法師旅館	2026/01/08	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	富山県	夫婦2人	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光	在来線	在来線	満足	目的地迄の手段が確保出来る事	20,000円以上 30,000円未満	3,000円以上 5,000円未満	3,000円以上 5,000円未満	初めて	観光パンフレット・ポスター, インターネット・アプリ	那谷寺		ゆのくにの森		20,000円以上 30,000円未満	満足	中庭の景観が良い	満足	ゆっくり出来る	感じなかった		8	送迎バスがありがたい	機会があれば行きたい	特になし	男	1949	富山県	高岡市	200万円以上 300万円未満	石川県のおすすめ観光スポットが見たい	満足	8	加賀の文化
加賀エリア	大江戸温泉物語Premium 山下家	2026/01/08	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	宿でのんびり過ごす, 温泉や露天風呂, テーマパーク（遊園地、動物園、博物館など）	自家用車	自家用車			10,000円以上 20,000円未満	5,000円以上 10,000円未満	10,000円以上 20,000円未満	2～5回目	TV・ラジオ番組やCM, インターネット・アプリ, X(旧：Twitter)	月うさぎの里		選択なし／該当施設なし	予定はなく、目に付いた所に行く	3,000円以上 5,000円未満	満足	ゆっくり寛げる	満足	部屋やお風呂でゆつくりできる	感じなかった		8		また行きたい（1年以内）	特になし	女	1959	大阪府	枚方市	400万円以上 500万円未満	景品が当たる	満足	9	
加賀エリア	大江戸温泉物語Premium 山下家	2026/01/08	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	宿でのんびり過ごす, 温泉や露天風呂	自家用車	自家用車	満足		10,000円以上 20,000円未満	3,000円以上 5,000円未満	5,000円以上 10,000円未満	11回目以上	観光展・物産展, 新聞・雑誌・ガイドブック, 観光パンフレット・ポスター	選択なし/該当施設なし	福井九頭竜川ダム	石川県立航空プラザ		10,000円以上 20,000円未満	とても満足	広い館内	満足		感じた		9		また行きたい（1年以内）	特になし	女	1959	大阪府	枚方市	600万円以上 700万円未満	ひゃくまんさんが好き	とても満足	10	温泉旅館観光すばらしい
加賀エリア	ゆのくに天祥	2026/01/08	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	新幹線	在来線, 送迎バス	とても満足	送迎バスがあったこと。	40,000円以上 50,000円未満	100,000円以上	20,000円以上 30,000円未満	初めて	インターネット・アプリ, Instagram	選択なし/該当施設なし		ゆのくにの森		50,000円以上 100,000円未満	満足	スタッフの対応が良かった。白雲膳はもう少しボリュームがあっても良かったかもしれない（満足しているが強いて言えば…です）	とても満足	ホスピタリティに溢れていた。清掃も行き届いていた。	感じなかった		10	無料サービスも充実していて楽しく過ごせました。ゆっくりまったりと過ごせました。たまたまだとは思いますが、良いお部屋にグレードアップしていただけたことはとても嬉しかったです。	機会があれば行きたい	雪のちょっとしたアクティビティがあると楽しいかなと思いました。	女	1999	大阪府	堺市	500万円以上 600万円未満	景品が当たる, なんとなく	満足	8	能登牛や石川県産のお野菜など、名物が美味しかった。
加賀エリア	大江戸温泉物語Premium 山下家	2026/01/08	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	福井県	親	温泉や露天風呂, 地元の美味しいものを食べる	県外から訪れていない（石川県内在住）	自家用車			10,000円以上 20,000円未満	1,000円未満	1,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		5,000円以上 10,000円未満	満足	食べ放題がある。	不満	露天風呂がない。	感じなかった		4	カニがしょっぱい。それ以外は満足。	石川県在住	魚系	女	1998	石川県	小松市	1,000万円以上 1,200万円未満	景品が当たる	どちらでもない	5	グルメ
加賀エリア	小松空港	2026/01/09	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	自分ひとり	出張など仕事関係	飛行機	路線バス	どちらでもない	バスのアクセスは普通だが値段が高い	使わない	3,000円以上 5,000円未満	20,000円以上 30,000円未満	11回目以上	新聞・雑誌・ガイドブック	選択なし/該当施設なし	仕事での往復であり特になし	選択なし／該当施設なし	特になし	1,000円以上 3,000円未満	どちらでもない	何となく	どちらでもない	何となく	感じなかった		7	普通	機会があれば行きたい	特になし	男	1972	東京都	葛飾区	600万円以上 700万円未満	景品が当たる	どちらでもない	7	食が美味しいから
加賀エリア	鶴来駅	2026/01/09	同意する	1泊	4泊以上	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	富山県	自分ひとり	宿でのんびり過ごす, 地元の美味しいものを食べる, 名所、旧跡の観光	新幹線, 在来線	在来線, 路線バス	とても満足	地元の方の会話	5,000円以上 10,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	2～5回目	観光パンフレット・ポスター, X(旧：Twitter), Instagram, Facebook	日本自動車博物館		選択なし／該当施設なし	市内巡り市内巡り	5,000円以上 10,000円未満	満足	特になし	満足	特になし	感じなかった	特になし	7		機会があれば行きたい	特になし	男	1974	京都府	京都市	400万円以上 500万円未満	ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい	満足	6	
加賀エリア	大江戸温泉物語 あわづグランドホテル	2026/01/09	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	温泉や露天風呂, 地元の美味しいものを食べる	在来線	在来線	とても満足	乗り継ぎも便利	30,000円以上 40,000円未満	10,000円以上 20,000円未満	5,000円以上 10,000円未満	2～5回目	インターネット・アプリ	月うさぎの里		ゆのくにの森		3,000円以上 5,000円未満	とても満足		とても満足		感じなかった		10		また行きたい（1年以内）	孫が楽しめるもの	女	1964	愛知県	知多市	900万円以上 1,000万円未満	景品が当たる, 動く３Dひゃくまんさんを見たい	とても満足	10	温泉も食事も美味しい
加賀エリア	月うさぎの里	2026/01/09	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	小学生以下連れの家族	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）	飛行機	路線バス	満足	利用する施設まで直接行けるため	50,000円以上 100,000円未満	10,000円以上 20,000円未満	40,000円以上 50,000円未満	初めて	観光パンフレット・ポスター	選択なし/該当施設なし		ゆのくにの森		3,000円以上 5,000円未満	とても満足	うさぎとてもたくさんいて、またうさぎグッズも可愛くて期待していた通りの施設だった	とても満足		感じなかった		10		また行きたい（1年以内）	新鮮な海産物や美味しいお酒、温泉	男	1992	神奈川県	横浜市	1,000万円以上 1,200万円未満	石川県が好き	とても満足	10	食べ物は美味しいし、ゆったり観光できて良いところ
加賀エリア	いしかわ動物園	2026/01/09	同意する	日帰り	石川県内には宿泊しない	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	自分ひとり	温泉や露天風呂, 地元の美味しいものを食べる, まちあるき、都市散策, 友人・親戚を訪ねる	自家用車	自家用車			使わない	3,000円以上 5,000円未満	1,000円以上 3,000円未満	11回目以上	昔から通ってる	月うさぎの里		日本自動車博物館		3,000円以上 5,000円未満	とても満足		とても満足		感じなかった		10	美味しい	また行きたい（1年以内）	移動手段が乏しい、	男	1994	石川県	金沢市	300万円以上 400万円未満	景品が当たる, Tweetすれば拡散できるので、PRになる。	とても満足	10	いしかわ動物園、ホワイトタイガーがいる 大きな展示場、見やすい前面アクリル板
加賀エリア	小松空港	2026/01/09	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	自分ひとり	地元の美味しいものを食べる, 友人・親戚を訪ねる	飛行機	路線バス	満足	北鉄バスのUSBポート、Wi-Fiありはありがたいです	使わない	40,000円以上 50,000円未満	30,000円以上 40,000円未満	11回目以上	友人・知人	選択なし/該当施設なし	金沢駅百番街	選択なし／該当施設なし	帰宅する	5,000円以上 10,000円未満	満足	広くはないが、両フロアのショップ内容は充実している	満足	ラウンジがある	感じなかった		9		また行きたい（1年以内）	特になし	女	1962	福岡県	福岡市	400万円以上 500万円未満	景品が当たる	満足	9	何をとっても魅力的、何度来ても新しい発見感動がある
加賀エリア	月うさぎの里	2026/01/09	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	日帰り	自分ひとり	地元の美味しいものを食べる	旅行会社ツアーバス	旅行会社ツアーバス	とても満足	バスがゆったりしていた	使わない	1,000円以上 3,000円未満	使わない	初めて	ツアー	月うさぎの里		選択なし／該当施設なし		1,000円以上 3,000円未満	とても満足	試食ありでお土産が買い易い	とても満足	トイレが多い	感じなかった		8		機会があれば行きたい	特に無し	女	1960	愛知県	名古屋市	200万円以上 300万円未満	景品が当たる	とても満足	9	カニが美味しい
加賀エリア	ゆのくに天祥	2026/01/09	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる	新幹線	送迎バス	とても満足	時間前から待機してくださっていたのでスムーズでした✨	30,000円以上 40,000円未満	20,000円以上 30,000円未満	30,000円以上 40,000円未満	2～5回目	インターネット・アプリ, Instagram, 友人・知人	選択なし/該当施設なし		選択なし／該当施設なし	金沢市内	20,000円以上 30,000円未満	どちらでもない		とても満足	親切な案内、説明、声掛けがあり非常に満足です。	感じなかった		10		また行きたい（1年以内）	海鮮	女	1997	東京都	世田谷区	1,000万円以上 1,200万円未満	ひゃくまんさんが好き	とても満足	10	食べ物の美味しさと人の親切さ
加賀エリア	大江戸温泉物語 あわづグランドホテル	2026/01/09	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる	在来線	在来線	満足	６回の乗換もスムーズで雪の影響もなかったから。	30,000円以上 40,000円未満	5,000円以上 10,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	加賀市観光情報センター	選択なし／該当施設なし	平和堂	5,000円以上 10,000円未満	とても満足	お土産の種類が豊富。	とても満足	アルコール飲料の補充ができた。	感じなかった		10	駅直結のスーパーに土産店が常設されているのは大変便利	また行きたい（1年以内）	新鮮な魚介類、特に蟹。	男	1963	愛知県	知多市	1,500万円以上	景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい	とても満足	9	
加賀エリア	大江戸温泉物語Premium 山中グランドホテル	2026/01/09	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	自分ひとり	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる	自家用車	自家用車			10,000円以上 20,000円未満	1,000円以上 3,000円未満	5,000円以上 10,000円未満	初めて	Instagram	選択なし/該当施設なし	時間的に寄れなかった	選択なし／該当施設なし	どこかカフェ	3,000円以上 5,000円未満	満足	広々していて快適	満足	新しいところと古いところの差が激しい	感じなかった		8	金時草のステーキソースが美味しかった	また行きたい（1年以内）	海鮮	女	1987	富山県	富山市	200万円以上 300万円未満	ひゃくまんさんが好き	満足	8	のんびりできる
加賀エリア	小松空港	2026/01/09	同意する	3泊	3泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる	飛行機	レンタカー, 路線バス	満足	もう少し本数があるとよかったが、比較的上手く回れた	5,000円以上 10,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	2～5回目	インターネット・アプリ, 友人・知人	那谷寺		選択なし／該当施設なし	永平寺	1,000円以上 3,000円未満	満足		満足		感じなかった		10		機会があれば行きたい	なし	女	1969	東京都	渋谷区	500万円以上 600万円未満	景品が当たる	満足	8	雪が思ったほどなくて、過ごしやすかった
加賀エリア	変なホテル　小松駅前	2026/01/09	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	スポーツ観戦や芸術鑑賞（コンサート等）	自家用車	自家用車			5,000円以上 10,000円未満	20,000円以上 30,000円未満	3,000円以上 5,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	小松ドーム	選択なし／該当施設なし	小松ドーム	1,000円以上 3,000円未満	満足	ホテルはとても綺麗だが、駐車場がコインパーキングしかない事、24時間のコンビニが近くに無い事が残念	満足	とても綺麗だが隣の部屋の人が電話してる声が聞こえる	感じた	駐車場が無い	8	ホテルに併設されてるご飯食べる所のオープンがもう少し早かったら良い	機会があれば行きたい	駅前がもう少し栄えてきたら楽しそう	女	1978	富山県	下新川郡入善町	500万円以上 600万円未満	景品が当たる	満足	9	町に建ってる建物が石川県っぽくて良かった
加賀エリア	大江戸温泉物語Premium 加賀まるや	2026/01/10	同意する	1泊	石川県内には宿泊しない	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	中学生以上連れの家族	宿でのんびり過ごす, 温泉や露天風呂, 	自家用車	自家用車			10,000円以上 20,000円未満	3,000円以上 5,000円未満	使わない	初めて	新聞・雑誌・ガイドブック	選択なし/該当施設なし	金沢駅	選択なし／該当施設なし	安宅神社	10,000円以上 20,000円未満	とても満足	神聖な場所	とても満足	神聖な場所	感じた	石の階段	8	無し	また行きたい（1年以内）	海鮮	女	1959	京都府	京都市	400万円以上 500万円未満	石川県の雑学を知りたい	満足	8	安宅神社のご利益
加賀エリア	ゆのくに天祥	2026/01/10	同意する	1泊	3泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	友人	石川県とラブライブ！蓮ノ空女学院スクールアイドルクラブコラボスタンプラリーのため	新幹線	在来線	どちらでもない	特記なし	50,000円以上 100,000円未満	20,000円以上 30,000円未満	20,000円以上 30,000円未満	初めて	ラブライブ！蓮ノ空女学院スクールアイドルクラブ	選択なし/該当施設なし		ゆのくにの森		1,000円以上 3,000円未満	とても満足	料理が美味しかった	とても満足		感じなかった		10		また行きたい（1年以内）	百万石乃白を使った日本酒を網羅した何か	男	1991	神奈川県	相模原市	500万円以上 600万円未満	蓮ノ空とのコラボに感謝を込めて	とても満足	10	
加賀エリア	大江戸温泉物語 山代彩朝楽	2026/01/10	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	温泉や露天風呂	自家用車	自家用車			10,000円以上 20,000円未満	5,000円以上 10,000円未満	使わない	11回目以上	インターネット・アプリ	選択なし/該当施設なし	金沢城	木場潟公園	金沢港	5,000円以上 10,000円未満	どちらでもない	今から訪問、未定	どちらでもない	なし	感じなかった	なし	7	好みの土産はなかった	また行きたい（1年以内）	洗練された都市	女	1959	富山県	富山市	1,200万円以上 1,500万円未満	景品が当たる, ひゃくまんさんが好き	満足	8	兼六園周辺でランチ、散策
加賀エリア	北陸自動車道　尼御前ＳＡ（下り）	2026/01/10	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	親	地元の美味しいものを食べる, 買い物、アウトレット, ドライブ・ツーリング	自家用車	自家用車			使わない	10,000円以上 20,000円未満	5,000円以上 10,000円未満	6～10回目	インターネット・アプリ	石川県立航空プラザ		選択なし／該当施設なし	兼六園	5,000円以上 10,000円未満	とても満足	カレーがおいしい！	とても満足	トイレ綺麗！	感じなかった		10	メニューが増えたらうれしい	また行きたい（1年以内）	食べ歩きできるとこが増えてほしい	女	1996	京都府	京都市	1,500万円以上	景品が当たる	とても満足	10	景色もキレイでご飯も美味しい
加賀エリア	白山比咩神社	2026/01/10	同意する	1泊	石川県内には宿泊しない	石川県内には宿泊しない	富山県	夫婦2人	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる	レンタカー, 新幹線	レンタカー			20,000円以上 30,000円未満	5,000円以上 10,000円未満	使わない	11回目以上	観光展・物産展, 新聞・雑誌・ガイドブック, 観光パンフレット・ポスター, インターネット・アプリ, Instagram	ゆのくにの森		選択なし／該当施設なし	尾崎神社、金澤神社	1,000円未満	とても満足	毎年お参りしているから	とても満足	清々しい気持ちになる	感じなかった		10		また行きたい（1年以内）	お寿司が美味しい	女	1965	京都府	京都市	1,500万円以上	景品が当たる, ひゃくまんさんが好き, ARでひゃくまんさんと写真が撮りたかった, 動く３Dひゃくまんさんを見たい, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい	とても満足	10	
加賀エリア	白峰温泉総湯	2026/01/10	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	富山県	夫婦2人	温泉や露天風呂, 地元の美味しいものを食べる, ドライブ・ツーリング	自家用車	自家用車			使わない	5,000円以上 10,000円未満	1,000円以上 3,000円未満	11回目以上	Instagram	選択なし/該当施設なし	道の駅瀬女	選択なし／該当施設なし	ファーマーズマーケット	1,000円以上 3,000円未満	とても満足	温泉がよい	とても満足		感じなかった		10		また行きたい（1年以内）	豆腐が美味しい	女	1979	石川県	金沢市	1,500万円以上	景品が当たる, ひゃくまんさんが好き	満足	10	
加賀エリア	山中温泉総湯（菊の湯）	2026/01/10	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	恋人	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる	新幹線, 在来線	路線バス	満足	タッチ決済ができるのが嬉しい	10,000円以上 20,000円未満	10,000円以上 20,000円未満	20,000円以上 30,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	なし	ゆのくにの森		1,000円未満	不満	菊の湯に水風呂が欲しかった	どちらでもない	熱いので、水風呂が欲しかった	感じなかった	石鹸などが無いとこは、旅行者には少し不便	6	スパクロくんは可愛いけど、知名度が低い。菊の湯女湯のシャワーが壊れてるのが多いらしい。	機会があれば行きたい	豊かな自然や温泉、美味しい海鮮	男	1984	滋賀県	大津市	700万円以上 800万円未満	景品が当たる	どちらでもない	6	新幹線駅や周辺は新たに開発されていて、綺麗で気持ちいい
加賀エリア	月うさぎの里	2026/01/10	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	団体旅行	地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット	旅行会社ツアーバス	旅行会社ツアーバス	とても満足	楽です。	使わない	10,000円以上 20,000円未満	使わない	2～5回目	観光パンフレット・ポスター, インターネット・アプリ, Instagram	選択なし/該当施設なし	加賀フルーツランド	選択なし／該当施設なし		1,000円以上 3,000円未満	とても満足	丁寧でした	とても満足	商品が多い	感じなかった		8		また行きたい（1年以内）	蟹が好き！	女	1963	愛知県	名古屋市	200万円以上 300万円未満	石川県のおすすめ観光スポットが見たい	とても満足	10	
加賀エリア	法師旅館	2026/01/10	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	小学生以下連れの家族	地元の美味しいものを食べる	自家用車	自家用車			20,000円以上 30,000円未満	20,000円以上 30,000円未満	5,000円以上 10,000円未満	2～5回目	Instagram	ゆのくにの森		月うさぎの里		1,000円以上 3,000円未満	とても満足	美味しかった	とても満足	美味しかった	感じなかった		10		また行きたい（1年以内）	金箔	女	2007	愛知県	弥富市	100万円以上 200万円未満	ひゃくまんさんが好き	とても満足	10	
加賀エリア	小松空港	2026/01/10	同意する	4泊以上	石川県内には宿泊しない	石川県内には宿泊しない	福井県	自分ひとり	友人・親戚を訪ねる	自家用車	自家用車			使わない	使わない	使わない	6～10回目	友人・知人	月うさぎの里		選択なし／該当施設なし		1,000円未満	とても満足	お土産が充実している	とても満足		感じなかった		10		機会があれば行きたい	特になし	女	1979	福井県	鯖江市	200万円以上 300万円未満	景品が当たる	とても満足	8	
加賀エリア	ゆのくに天祥	2026/01/10	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	小学生以下連れの家族	温泉や露天風呂, 地元の美味しいものを食べる	自家用車	自家用車			50,000円以上 100,000円未満	10,000円以上 20,000円未満	5,000円以上 10,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		3,000円以上 5,000円未満	とても満足	色んなサービスがあって、夜ご飯もおいしくて大満足です	とても満足	スタッフさんも皆さん素敵で大満足です	感じた	8階に上がるエレベーターが1基しかなく、時間帯により混むのがちょっと不便でした	10	サービスの蒸し立ての温泉まんじゅうが美味しく、夜ご飯のカニも食べやすく切り目が入っていたり、それぞれの出すタイミングなど配慮がとても良かったです	また行きたい（1年以内）	美味しい海鮮を食べたい	女	1978	京都府	長岡京市	500万円以上 600万円未満	景品が当たる	とても満足	10	施設の配慮、サービスがとてもよかった
加賀エリア	大江戸温泉物語 山中彩朝楽	2026/01/10	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	小学生以下連れの家族	温泉や露天風呂, スキー・スノボ・マリンスポーツ	自家用車	自家用車			40,000円以上 50,000円未満	5,000円以上 10,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	石川県外のスキー場	選択なし／該当施設なし	福井県内	5,000円以上 10,000円未満	満足	到着が遅かったので、少し慌ただしくなってしまったため	満足		感じなかった		8		また行きたい（1年以内）	特になし	男	1972	大阪府	枚方市	600万円以上 700万円未満	石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい	とても満足	8	料理が美味しい
